gate,terminal,delay,scheduled,estimated,actual,estimated_runway,actual_runway
A14,3,0.0,2025-07-05 16:40:00+00:00,2025-07-05 16:40:00+00:00,2025-07-05 16:40:00+00:00,2025-07-05 16:40:00+00:00,2025-07-05 16:40:00+00:00
B3,3,0.0,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00
B3,3,0.0,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00
D36,1,0.0,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00,2025-07-05 16:35:00+00:00
D49,1,0.0,2025-07-05 16:30:00+00:00,2025-07-05 16:30:00+00:00,2025-07-05 16:30:00+00:00,2025-07-05 16:30:00+00:00,2025-07-05 16:30:00+00:00
E12,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E12,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E12,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E12,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E6,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E6,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E6,2,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
A19,3,0.0,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00,2025-07-05 16:15:00+00:00
E26,2,0.0,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00
E26,2,0.0,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00
E26,2,0.0,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00
E26,2,0.0,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00,2025-07-05 16:10:00+00:00
D44,1,0.0,2025-07-05 16:05:00+00:00,2025-07-05 16:05:00+00:00,2025-07-05 16:05:00+00:00,2025-07-05 16:05:00+00:00,2025-07-05 16:05:00+00:00
